ID,title,rating,calories,protein,fat,sodium,22-minutes,advance-prep,breakfast,brunch,dairy,dessert,dinner,healthy,gluten-free,kid-friendly,kosher,kosher-passover,low-cholesterol,low-sugar,lunch,meat,paleo,pescatarian,seafood,vegan,vegetarian,ingredients
1,Lentil Apple and Turkey Wrap ,2.5,426,30,7,559,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
2,Boudin Blanc Terrine with Red Onion Confit ,4.375,403,18,23,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,Potato and Fennel Soup Hodge ,3.75,165,6,7,165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,The Best Blts ,4.375,948,19,79,1042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
5,Korean Marinated Beef ,4.375,170,7,10,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,Ham Persillade with Mustard Potato Salad and Mashed Peas ,3.75,602,23,41,1696,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5
7,Yams Braised with Cream Rosemary and Nutmeg ,3.75,256,4,5,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,Banana-Chocolate Chip Cake With Peanut Butter Frosting ,4.375,766,12,48,439,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,3
9,Beef Tenderloin with Garlic and Brandy ,4.375,174,11,12,176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
10,Peach Mustard ,3.125,134,4,3,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,Raw Cream of Spinach Soup ,4.375,382,5,31,977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
12,Sweet Buttermilk Spoon Breads ,1.875,146,4,5,160,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4
13,Crisp Braised Pork Shoulder ,4.375,890,59,68,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,Mozzarella-Topped Peppers with Tomatoes and Garlic ,5,107,5,7,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,Tuna Asparagus and New Potato Salad with Chive Vinaigrette and Fried Capers ,5,421,10,33,383,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,6
16,Asian Pear and Watercress Salad with Sesame Dressing ,4.375,345,11,19,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
17,Sea Salt-Roasted Pecans ,3.75,279,3,30,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Garlic Baguette Crumbs ,0,95,1,7,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
