Left,Top,Value,Group
almond,almond,100,10
almond,anchovy,0,0
almond,anise,0,0
almond,apple,5,1
almond,apple-juice,0,0
almond,apricot,6,1
almond,artichoke,0,0
almond,arugula,0,0
almond,asian-pear,0,0
almond,asparagus,0,0
almond,avocado,0,0
almond,bacon,0,0
almond,banana,0,0
almond,barley,0,0
almond,basil,1,0
almond,bass,0,0
almond,bean,0,0
almond,beef,0,0
almond,beef-rib,0,0
almond,beef-shank,0,0
almond,beef-tenderloin,0,0
almond,beer,0,0
almond,beet,0,0
almond,bell-pepper,2,0
almond,berry,6,1
almond,biscuit,0,0
almond,blackberry,1,0
almond,blue-cheese,0,0
almond,blueberry,0,0
almond,bok-choy,0,0
almond,bran,0,0
almond,brandy,1,0
almond,bread,2,0
almond,breadcrumbs,0,0
almond,brie,0,0
almond,brisket,0,0
almond,broccoli,0,0
almond,broccoli-rabe,0,0
almond,brown-rice,0,0
almond,brussel-sprout,0,0
almond,buffalo,0,0
almond,bulgur,0,0
almond,butter,0,0
almond,buttermilk,0,0
almond,butternut-squash,0,0
almond,cabbage,0,0
almond,cantaloupe,0,0
almond,capers,0,0
almond,caramel,0,0
almond,caraway,0,0
almond,cardamom,1,0
almond,carrot,1,0
almond,cashew,3,0
almond,cauliflower,1,0
almond,caviar,0,0
almond,celery,1,0
almond,chard,0,0
almond,cheddar,0,0
almond,cherry,7,1
almond,chestnut,0,0
almond,chicken,3,0
almond,chickpea,0,0
almond,chile-pepper,0,0
almond,chili,0,0
almond,chive,0,0
almond,chocolate,14,1
almond,cilantro,0,0
almond,cinnamon,3,0
almond,citrus,2,0
almond,clam,0,0
almond,clove,1,0
almond,coconut,4,0
almond,cod,0,0
almond,coffee,1,0
almond,collard-greens,0,0
almond,cookie,0,0
almond,coriander,1,0
almond,corn,0,0
almond,cornmeal,0,0
almond,cottage-cheese,0,0
almond,couscous,1,0
almond,crab,0,0
almond,cranberry,3,0
almond,cranberry-sauce,0,0
almond,cream-cheese,3,0
almond,cucumber,0,0
almond,cumin,0,0
almond,currant,1,0
almond,curry,0,0
almond,date,3,0
almond,dill,0,0
almond,duck,0,0
almond,egg,13,1
almond,eggplant,0,0
almond,endive,0,0
almond,escarole,0,0
almond,fennel,0,0
almond,feta,0,0
almond,fig,1,0
almond,flat-bread,0,0
almond,fontina,0,0
